"Jaar","Maand","T"
1833,"1",-2.5
1834,"1",6.9
1835,"1",3.4
1836,"1",2.3
1837,"1",1.6
1838,"1",-6.3
1839,"1",1.9
1840,"1",2.7
1841,"1",0.5
1842,"1",-2.5
1843,"1",2.6
1844,"1",1.2
1845,"1",1.5
1846,"1",4.5
1847,"1",-1
1848,"1",-3.5
1849,"1",2.1
1850,"1",-3
1851,"1",4.1
1852,"1",4.2
1853,"1",4.8
1854,"1",2.2
1855,"1",-1.1
1856,"1",3.5
1857,"1",0.9
1858,"1",0.3
1859,"1",2.9
1860,"1",3.8
1861,"1",-3.1
1862,"1",1.4
1863,"1",4
1864,"1",-0.7
1865,"1",1.2
1866,"1",5.1
1867,"1",0.4
1868,"1",0.1
1869,"1",2
1870,"1",2
1871,"1",-2.5
1872,"1",3.6
1873,"1",4.4
1874,"1",3.8
1875,"1",3.9
1876,"1",-0.8
1877,"1",5.2
1878,"1",1.9
1879,"1",-1.4
1880,"1",-1.1
1881,"1",-2.9
1882,"1",2.2
1883,"1",2.8
1884,"1",4.9
1885,"1",-0.6
1886,"1",0.5
1887,"1",-0.1
1888,"1",-0.4
1889,"1",0.1
1890,"1",4.7
1891,"1",-1.8
1892,"1",0.7
1893,"1",-2.6
1894,"1",2
1895,"1",-1.1
1896,"1",1.8
1897,"1",0.4
1898,"1",4
1899,"1",4.4
1900,"1",3.5
1901,"1",1.5
1902,"1",4.2
1903,"1",3.1
1904,"1",0.9
1905,"1",0.9
1906,"1",3.7
1907,"1",1.7
1908,"1",-0.5
1909,"1",1.1
1910,"1",3.3
1911,"1",0.6
1912,"1",3.1
1913,"1",3.9
1914,"1",-0.9
1915,"1",2.9
1916,"1",6.1
1917,"1",-0.8
1918,"1",3.4
1919,"1",2.2
1920,"1",4.3
1921,"1",6.2
1922,"1",1.6
1923,"1",3.6
1924,"1",2.3
1925,"1",4.2
1926,"1",3.1
1927,"1",3.9
1928,"1",4.2
1929,"1",-1.2
1930,"1",5.6
1931,"1",3
1932,"1",4.5
1933,"1",0.5
1934,"1",2.5
1935,"1",2.5
1936,"1",5.1
1937,"1",4.3
1938,"1",4.3
1939,"1",4.9
1940,"1",-4.2
1941,"1",-1.7
1942,"1",-3.6
1943,"1",3.9
1944,"1",5.1
1945,"1",-2.1
1946,"1",0.4
1947,"1",-0.1
1948,"1",5.6
1949,"1",4.1
1950,"1",1.5
1951,"1",4.3
1952,"1",2.2
1953,"1",0.7
1954,"1",-0.2
1955,"1",1.5
1956,"1",2.7
1957,"1",3.2
1958,"1",3
1959,"1",1.8
1960,"1",2.8
1961,"1",2.6
1962,"1",3.8
1963,"1",-4.6
1964,"1",0.7
1965,"1",2.7
1966,"1",1
1967,"1",3.4
1968,"1",2.4
1969,"1",4.8
1970,"1",2.9
1971,"1",3.5
1972,"1",1.9
1973,"1",3.1
1974,"1",5.9
1975,"1",6.3
1976,"1",3.9
1977,"1",3
1978,"1",3
1979,"1",-2.5
1980,"1",0.9
1981,"1",3
1982,"1",2.3
1983,"1",5.9
1984,"1",3.5
1985,"1",-2.8
1986,"1",2.6
1987,"1",-2.8
1988,"1",6.2
1989,"1",4.3
1990,"1",5.2
1991,"1",3.4
1992,"1",2.6
1993,"1",5.6
1994,"1",4.8
1995,"1",4
1996,"1",2.1
1997,"1",-0.2
1998,"1",4.4
